method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,latency_source,per_window_latency_med_s,per_window_source,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,gpu_name,hw_id,ate_rmse_m,rpe_per_m,metric_capable,scale_estimate,metric_scale_error_pct,extent_error_pct,masked_accuracy_m,masked_completeness_m,masked_chamfer_m,masked_fscore,full360_accuracy_m,full360_completeness_m,full360_chamfer_m,full360_fscore,point_count,map_size_mb,sor_outlier_pct,acc_p95_m,noise_frac,precision_tight,source
laser,replica,apartment_0,synthetic_2.0hz_s0,synthetic_fov,70.0,4.4,5.092,archive_unspecified,,unavailable,3.522,8.416,13.0,117.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.226,0.09300000000000001,False,,,,0.096,0.063,0.158,0.642,0.11,0.705,0.815,0.357,319033.0,4.8,0.035,0.39899999999999997,0.242,0.124,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_5.0hz_s0,synthetic_fov,173.0,7.37,11.552,archive_unspecified,,unavailable,5.093,8.588,10.1,167.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.213,0.107,False,,,,0.11900000000000001,0.065,0.183,0.483,0.122,0.716,0.838,0.296,642544.0,9.6,0.035,0.40299999999999997,0.361,0.061,archive:bigrun_2026-07
laser,replica,apartment_0,loop_2.0hz_s1,synthetic_fov,90.0,5.826,6.329,archive_unspecified,,unavailable,4.321,8.518,10.8,140.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.381,0.359,False,,,,0.12,0.07400000000000001,0.19399999999999998,0.483,0.177,0.75,0.927,0.284,808130.0,12.1,0.037000000000000005,0.391,0.37,0.071,archive:bigrun_2026-07
panovggt,replica,office_4,synthetic_2.0hz,pano,50.0,2.661,6.435,archive_unspecified,6.4349,archive_unspecified,72.251,82.388,33.9,256.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.009000000000000001,0.025,False,,,,0.025,0.009000000000000001,0.034,0.966,0.027000000000000003,0.017,0.044000000000000004,0.922,4664513.0,70.0,0.024,0.052000000000000005,0.013999999999999999,0.527,archive:bigrun_2026-07
panovggt,replica,office_4,synthetic_0.5hz,pano,13.0,1.17,1.056,archive_unspecified,1.0558,archive_unspecified,65.418,74.284,9.8,100.3,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.006999999999999999,0.009000000000000001,False,,,,0.022000000000000002,0.011000000000000001,0.032,0.977,0.023,0.021,0.044000000000000004,0.925,2694678.0,40.4,0.022000000000000002,0.044000000000000004,0.006,0.579,archive:bigrun_2026-07
panovggt,replica,office_4,synthetic_5.0hz,pano,125.0,2.488,31.435,archive_unspecified,31.4347,archive_unspecified,86.776,96.013,62.5,398.9,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.008,0.032,False,,,,0.028999999999999998,0.008,0.037000000000000005,0.95,0.031,0.015,0.046,0.905,6147230.0,92.2,0.026000000000000002,0.064,0.026000000000000002,0.479,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,loop_2.0hz_s0,pano,106.0,2.604,23.381,archive_unspecified,23.3811,archive_unspecified,21.372,32.791,56.8,374.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.106,0.12,False,,,,0.055999999999999994,0.013999999999999999,0.07,0.803,0.294,0.024,0.319,0.581,10920457.0,163.8,0.03,0.19,0.127,0.24,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,stopgo_2.0hz_s1,pano,77.0,2.779,13.554,archive_unspecified,13.5544,archive_unspecified,15.903,24.71,49.7,329.5,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.013999999999999999,0.021,False,,,,0.042,0.02,0.062,0.863,0.32899999999999996,0.048,0.377,0.613,7527491.0,112.9,0.033,0.12,0.066,0.29100000000000004,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,synthetic_2.0hz_s1,pano,57.0,2.738,7.97,archive_unspecified,7.9705,archive_unspecified,11.779,20.778,39.7,269.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.013999999999999999,0.021,False,,,,0.042,0.021,0.062,0.862,0.33299999999999996,0.048,0.38,0.611,7567192.0,113.5,0.033,0.11900000000000001,0.065,0.293,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,stopgo_2.0hz_s0,pano,100.0,2.662,21.255,archive_unspecified,21.2552,archive_unspecified,20.611,29.232,56.7,371.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.027000000000000003,0.05,False,,,,0.042,0.019,0.061,0.868,0.289,0.037000000000000005,0.325,0.643,9048700.0,135.7,0.03,0.115,0.064,0.287,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,synthetic_0.5hz_s0,pano,20.0,1.687,1.693,archive_unspecified,1.693,archive_unspecified,4.636,13.503,15.5,139.5,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.036000000000000004,0.028999999999999998,False,,,,0.035,0.021,0.055999999999999994,0.893,0.321,0.042,0.364,0.671,4343225.0,65.2,0.033,0.08800000000000001,0.039,0.336,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,synthetic_0.5hz_s1,pano,15.0,1.306,1.211,archive_unspecified,1.2112,archive_unspecified,3.833,12.859,10.7,121.6,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.013000000000000001,0.01,False,,,,0.034,0.028999999999999998,0.062,0.883,0.38299999999999995,0.059000000000000004,0.442,0.619,3708676.0,55.6,0.034,0.078,0.035,0.345,archive:bigrun_2026-07
panovggt,replica,frl_apartment_0,synthetic_5.0hz_s1,pano,141.0,2.404,40.598,archive_unspecified,40.5975,archive_unspecified,29.341,37.293,68.8,440.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.013999999999999999,0.035,False,,,,0.049,0.017,0.067,0.833,0.31,0.043,0.35200000000000004,0.589,11062839.0,165.9,0.032,0.155,0.095,0.256,archive:bigrun_2026-07
