method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,per_window_latency_med_s,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,tsdf_block_count,gpu_name,gpu_total_gb,hw_id
vggtslam,replica,frl_apartment_0,loop_2.0hz_s1,synthetic_fov,74,4.576,14.562,,2.644,9.017,3.1,94.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,loop_2.0hz_s0,synthetic_fov,84,5.024,15.007,,3.056,9.02,2.2,107.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,stopgo_2.0hz_s1,synthetic_fov,90,5.281,15.546,,2.769,9.02,3.0,103.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_2.0hz_s1,synthetic_fov,70,4.353,14.592,,2.76,9.02,7.8,100.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,stopgo_2.0hz_s0,synthetic_fov,67,4.261,14.122,,2.761,9.017,2.5,104.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_0.5hz_s0,synthetic_fov,12,0.879,12.426,,2.054,8.166,1.6,81.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_0.5hz_s1,synthetic_fov,18,1.204,13.644,,2.184,8.894,1.4,86.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_5.0hz_s1,synthetic_fov,175,9.792,16.0,,3.509,9.02,10.6,119.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_2.0hz_s0,synthetic_fov,47,2.976,14.266,,2.557,9.017,4.3,94.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,apartment_1,synthetic_5.0hz_s0,synthetic_fov,116,6.572,16.016,,2.96,9.02,6.1,107.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
